hex_id,time_bin,season,count
-14665_6819,Morning (06-11),Spring,0
-14665_6819,Morning (06-11),Summer,0
-14665_6819,Morning (06-11),Fall,0
-14665_6819,Afternoon (12-17),Winter,0
-14665_6819,Afternoon (12-17),Spring,1
-14665_6819,Afternoon (12-17),Summer,0
-14665_6819,Afternoon (12-17),Fall,0
-14665_6819,Evening (18-23),Winter,0
-14665_6819,Evening (18-23),Spring,0
-14665_6819,Evening (18-23),Summer,0
-14665_6819,Evening (18-23),Fall,0
-14665_6825,Night (00-05),Winter,0
-14665_6825,Night (00-05),Spring,0
-14665_6825,Night (00-05),Summer,0
-14665_6825,Night (00-05),Fall,0
-14665_6825,Morning (06-11),Winter,0
-14665_6825,Morning (06-11),Spring,0
-14665_6825,Morning (06-11),Summer,0
-14665_6825,Morning (06-11),Fall,0
-14665_6825,Afternoon (12-17),Winter,0
-14665_6825,Afternoon (12-17),Spring,0
-14665_6825,Afternoon (12-17),Summer,0
-14665_6825,Afternoon (12-17),Fall,0
-14665_6825,Evening (18-23),Winter,0
-14665_6825,Evening (18-23),Spring,0
-14665_6825,Evening (18-23),Summer,1
-14665_6825,Evening (18-23),Fall,0
-14665_6826,Night (00-05),Winter,1
-14665_6826,Night (00-05),Spring,0
-14665_6826,Night (00-05),Summer,1
-14665_6826,Night (00-05),Fall,0
-14665_6826,Morning (06-11),Winter,0
-14665_6826,Morning (06-11),Spring,0
-14665_6826,Morning (06-11),Summer,0
-14665_6826,Morning (06-11),Fall,1
-14665_6826,Afternoon (12-17),Winter,0
-14665_6826,Afternoon (12-17),Spring,1
-14665_6826,Afternoon (12-17),Summer,0
-14665_6826,Afternoon (12-17),Fall,1
-14665_6826,Evening (18-23),Winter,0
-14665_6826,Evening (18-23),Spring,0
-14665_6826,Evening (18-23),Summer,0
-14665_6826,Evening (18-23),Fall,0
-14666_6812,Night (00-05),Winter,0
-14666_6812,Night (00-05),Spring,0
-14666_6812,Night (00-05),Summer,0
-14666_6812,Night (00-05),Fall,0
-14666_6812,Morning (06-11),Winter,0
-14666_6812,Morning (06-11),Spring,1
-14666_6812,Morning (06-11),Summer,0
-14666_6812,Morning (06-11),Fall,0
-14666_6812,Afternoon (12-17),Winter,0
-14666_6812,Afternoon (12-17),Spring,2
-14666_6812,Afternoon (12-17),Summer,1
-14666_6812,Afternoon (12-17),Fall,0
-14666_6812,Evening (18-23),Winter,1
-14666_6812,Evening (18-23),Spring,0
-14666_6812,Evening (18-23),Summer,1
-14666_6812,Evening (18-23),Fall,2
-14666_6813,Night (00-05),Winter,1
-14666_6813,Night (00-05),Spring,0
-14666_6813,Night (00-05),Summer,4
-14666_6813,Night (00-05),Fall,0
-14666_6813,Morning (06-11),Winter,0
