variable,z_percentile,n,rho_spearman,p_value
concealed_carry_license_violation,65,15,0.681828892887981,0.005114700870222637
concealed_carry_license_violation,66,15,0.3475883076413799,0.20427993851052795
concealed_carry_license_violation,67,16,0.3574074071181635,0.17412657469254075
concealed_carry_license_violation,68,15,0.29228892647082566,0.2904519101025289
concealed_carry_license_violation,69,15,0.5321088451401053,0.041173962978307437
concealed_carry_license_violation,70,15,0.37845416135805493,0.1642322043432735
concealed_carry_license_violation,71,16,0.494038535009238,0.0517667174131486
concealed_carry_license_violation,72,15,0.49142870251829074,0.062827940574897
concealed_carry_license_violation,73,15,0.5227462371046795,0.04557326969971313
concealed_carry_license_violation,74,15,,
concealed_carry_license_violation,75,15,0.30102257369023916,0.2756020955894396
concealed_carry_license_violation,76,16,0.0725464827222636,0.7894707615301755
concealed_carry_license_violation,77,15,0.5145649034360946,0.04969394266235772
concealed_carry_license_violation,78,15,0.34929299015773985,0.20191927674427776
concealed_carry_license_violation,79,15,-0.08524866025280418,0.7625962061157765
concealed_carry_license_violation,80,16,0.2808832639123792,0.29197502279795157
concealed_carry_license_violation,81,15,0.3507390702608202,0.1999304854299824
concealed_carry_license_violation,82,15,0.09337385792798464,0.7406549985356832
concealed_carry_license_violation,83,15,0.2704938828529517,0.32952347450919783
concealed_carry_license_violation,84,16,0.2669190724654033,0.3176228963311266
concealed_carry_license_violation,85,15,-0.041412385930448756,0.8834978647464056
