variable,z_percentile,n,rho_spearman,p_value
arson,61,9,-0.31915182574260326,0.4025181638989168
arson,62,23,0.7580204163784385,2.7882470507140046e-05
arson,63,12,0.5933135372159309,0.04199339628195225
arson,65,27,0.2280238279934067,0.2526524204509042
arson,67,30,0.8703952642679363,4.1115406614218157e-10
arson,68,24,0.7471665923506363,2.7281133009698994e-05
arson,70,23,0.46306924634031305,0.026067135881472005
arson,71,23,0.7491927237989232,3.8920283004102364e-05
arson,73,18,0.7200000971496233,0.0007533143564453938
arson,75,57,0.9008506715446921,1.3880923160212248e-21
arson,78,28,0.7541911673588912,3.5683320100510444e-06
arson,80,34,0.533035383196895,0.0011714039109311423
arson,82,18,0.8782402281750838,1.6467014725021327e-06
arson,83,19,0.7624116471174571,0.00014767638682214372
arson,84,6,0.16419739435729633,0.7559173537311269
arson,85,24,0.857641669316265,8.550373481307902e-08
arson,86,9,-0.008780379160763444,0.9821139075973345
arson,87,17,0.7060022613309467,0.0015392398863215404
arson,88,24,0.6829700183761563,0.0002352472327785528
arson,90,27,0.7620362210490288,3.865908571015427e-06
arson,91,13,0.7510380627805441,0.0030862830659084094
arson,92,12,0.795097541564023,0.0019934857741352894
arson,93,21,0.6663412870494754,0.00097321279408201
arson,94,24,0.9260794600681289,8.790657761390019e-11
arson,96,11,0.690909090909091,0.018565033381595007
arson,97,27,0.7725477932405013,2.3388592765981974e-06
arson,98,24,0.592148323789426,0.002300001362693302
arson,99,5,0.36842105263157904,0.5417509057946895
arson,100,14,0.8654959746803261,6.357987411432305e-05
assault,1,17,0.6761104252452458,0.0028856480192454024
assault,2,7,-0.14433756729740646,0.7575093876521792
assault,3,23,0.10876772059671816,0.6212976678284007
assault,4,14,0.5109383639497882,0.06188136726201945
assault,5,25,0.5246150360234701,0.007095703553562476
assault,7,16,0.6393636980627387,0.00765878526523816
assault,8,14,0.8403878212731951,0.00016769406544685198
assault,9,26,-0.008623339433549683,0.9666512036023047
assault,10,12,0.8917658156576267,9.729171630077514e-05
assault,11,21,0.5332278194575991,0.01280486067408059
assault,13,32,0.688455507119999,1.3274863737850013e-05
assault,15,15,0.25702150609450264,0.3550954817596988
assault,16,26,0.8035195946441331,7.706128584962757e-07
assault,18,28,0.2100629474635892,0.28331658462186704
assault,20,42,0.5363078490619048,0.00025130574361357675
assault,22,16,0.5257312241439349,0.03647677724167452
assault,23,27,0.30942987209842193,0.11627741599383329
assault,25,14,0.7752628515457092,0.001123755245767584
assault,26,12,0.3186085244213853,0.31281176524045423
assault,27,21,0.7716581193433791,4.192298621527464e-05
assault,28,36,0.736364178733052,3.0704946897607457e-07
assault,30,23,0.719016682371009,0.0001107298948123703
assault,32,20,0.608011921326998,0.004453924098239843
assault,33,7,0.43643578047198484,0.327582499266185
assault,34,31,0.49349569529944765,0.0047851531858562404
assault,35,10,0.7282190812544191,0.016932514597287777
assault,36,17,0.9357581450090665,3.482993939457475e-08
assault,37,15,0.5696428925722891,0.026640938539601602
assault,38,15,0.8237623252674408,0.00015991083671829605
assault,42,115,-0.11045195627138527,0.2399446227850597
assault,47,19,0.3737686660344974,0.11493929548457647
assault,48,26,0.8637145587146838,1.328502086517548e-08
assault,50,16,0.5079542423766642,0.04455908486454686
assault,51,20,0.18271203206600364,0.44069240500330087
assault,52,17,0.794103319602079,0.00014094278478354283
assault,53,15,0.8032503879489375,0.0003102865594800901
assault,54,16,0.5072308425620015,0.04491413179318844
assault,55,9,0.6861196121892381,0.04127519612396012
assault,57,36,0.8183598227566093,1.085060090532344e-09
assault,58,8,0.8193365776101958,0.012816501903671776
assault,59,23,0.7371638186321813,6.0034342566771114e-05
assault,60,19,0.6928491781622682,0.0010075227673139579
assault,61,9,0.35445877847928325,0.3492969259778036
assault,62,23,0.7956897276096452,5.6496092677387295e-06
assault,63,12,0.62697118916282,0.029112880865987664
assault,65,27,0.22219270330244767,0.2653172876201509
assault,67,30,0.8791814394415621,1.628093069329879e-10
assault,68,24,0.8242988018682132,7.34690694247924e-07
assault,70,23,0.8308597164193384,9.172391973145117e-07
assault,71,23,0.8524047931663196,2.424617123279915e-07
assault,73,18,0.900625461149419,3.487079307670372e-07
assault,75,57,0.8962186486730582,4.5786305311426684e-21
assault,78,28,0.7959444428178192,4.105381407796422e-07
assault,80,34,0.7268865706392161,1.12575303080383e-06
assault,82,18,0.7469012249960643,0.0003687818355850024
assault,83,19,0.7259589880051948,0.00043342905937348534
assault,84,6,0.8827348295047495,0.01982041658888203
assault,85,24,0.9252903860937585,9.842923394533449e-11
